id,store_id,store_code,store_name,metadata,is_active,created_at,updated_at,display_start_day,display_end_day,display_duration_days,expected_order_receive_day,resolution,min_items_qty,share_group_id
42b6a790-be8b-47eb-a943-5a19e13c7a1e,b90e6bc5-8607-40cd-ac87-daf2f8386150,0352,Save a Lot (23492),"{""city"":""Warren"",""state"":""OH"",""address"":""1020 N Park Ave"",""zipcode"":""44482""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
436866c2-6a0d-42da-97b1-ee1696612430,b90e6bc5-8607-40cd-ac87-daf2f8386150,0404,Save A Lot (24869),"{""city"":""Kouts"",""state"":""IN"",""address"":""175 N. Main Street"",""zipcode"":""46347""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,1
4604854a-8fee-492c-89f2-c8b38d400ceb,b90e6bc5-8607-40cd-ac87-daf2f8386150,0361,Save a Lot (24695),"{""city"":""New Castle"",""state"":""PA"",""address"":""3332 D Wilmington Rd"",""zipcode"":""16105""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
480d0704-a651-4e92-a174-3c6b48a8431a,b90e6bc5-8607-40cd-ac87-daf2f8386150,0350,Save a Lot (21499),"{""city"":""Pittsburgh"",""state"":""PA"",""address"":""725 Ross Ave"",""zipcode"":""15221""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1920x1080,24,3
4c582690-5031-4548-88c2-bd0e748a7561,b90e6bc5-8607-40cd-ac87-daf2f8386150,0358,Save a Lot (24520),"{""city"":""Wooster"",""state"":""OH"",""address"":""1945 B Cleveland Rd"",""zipcode"":""44691""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
4e3806e2-597b-4b5c-ac92-8a25c4123366,b90e6bc5-8607-40cd-ac87-daf2f8386150,0356,Save a Lot (23694),"{""city"":""Massillon"",""state"":""OH"",""address"":""266 Federal Ave NE"",""zipcode"":""44646""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
4e66e180-997c-453c-b2f7-338df8882d54,b90e6bc5-8607-40cd-ac87-daf2f8386150,0524,Save A Lot 30020,"{""city"":""Spring Hill"",""state"":""FL"",""address"":""7351 Spring Hill Dr"",""zipcode"":""34606""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
513f96f4-ca40-4e92-89ef-048d32e5229e,b90e6bc5-8607-40cd-ac87-daf2f8386150,0521,Save A Lot 30017,"{""city"":""Tampa"",""state"":""FL"",""address"":""2271 E Bearss Ave"",""zipcode"":""33613""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
5179ad8b-bd49-4d7f-943e-696e6fcea9c6,b90e6bc5-8607-40cd-ac87-daf2f8386150,0544,Save A Lot 30042,"{""city"":""Tampa"",""state"":""FL"",""address"":""4319 N Armenia Ave"",""zipcode"":""33607""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1920x1080,24,2
564c0ba2-0a14-4edc-a97a-3219912fe79e,b90e6bc5-8607-40cd-ac87-daf2f8386150,0231,Save a lot (60141),"{""city"":""Ewing Township"",""state"":""NJ"",""address"":""1560 N Olden Avenue"",""zipcode"":""08638""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Friday,Thursday,7,Tuesday,1080x1920,24,
5901ad88-1266-42da-981a-1321e18869c7,b90e6bc5-8607-40cd-ac87-daf2f8386150,0540,Save A Lot 30038,"{""city"":""Port Richey"",""state"":""FL"",""address"":""9332 US Hwy 19"",""zipcode"":""34668""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1920x1080,24,2
5905c80a-6b36-4dc1-b5ba-0845c79f7fc0,b90e6bc5-8607-40cd-ac87-daf2f8386150,0287,Save a Lot (23882),"{""city"":""Hammond"",""state"":""IN"",""address"":""3450 169th Street"",""zipcode"":""46323""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,1
5bee89b4-9765-4ed2-9c15-12f157dd92c7,b90e6bc5-8607-40cd-ac87-daf2f8386150,0282,Save A Lot (24940),"{""city"":""Peekskill"",""state"":""NY"",""address"":""1099 N Division Street"",""zipcode"":""10566""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1920x1080,36,
68210593-c7a5-4074-95e2-9c3798a63e4c,b90e6bc5-8607-40cd-ac87-daf2f8386150,0505,Save A Lot 30000,"{""city"":""New Port Richey"",""state"":""FL"",""address"":""6536 Massachusetts Ave"",""zipcode"":""34653""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
6956a4c5-679d-434c-a639-7d1b439f4948,b90e6bc5-8607-40cd-ac87-daf2f8386150,0351,Save a Lot (23263),"{""city"":""Austintown"",""state"":""OH"",""address"":""1715 S Raccoon Rd"",""zipcode"":""44515""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
6a07f621-717f-4a25-93bb-e6d78ff98fab,b90e6bc5-8607-40cd-ac87-daf2f8386150,0449,Save a Lot (24921),"{""city"":""DeMotte"",""state"":""IN"",""address"":""5916 State Road 10"",""zipcode"":""46310""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,1
716a27a9-605f-462f-a8e2-bd376ed882b2,b90e6bc5-8607-40cd-ac87-daf2f8386150,0529,Save A Lot 30026,"{""city"":""Gulfport"",""state"":""FL"",""address"":""5013 Gulfport Blvd S"",""zipcode"":""33707""}",true,2025-11-25 09:04:36.903374+00,2025-12-15 13:46:56.784448+00,,,,,,,2
743798f8-04a1-4093-977a-1deaf2303df1,b90e6bc5-8607-40cd-ac87-daf2f8386150,0509,Save A Lot 30004,"{""city"":""Sun City"",""state"":""FL"",""address"":""1625 Sun City Center Blvd"",""zipcode"":""33573""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,12,2
75a436c9-8389-4fce-9efe-06d236a0b3c5,b90e6bc5-8607-40cd-ac87-daf2f8386150,0285,Save a Lot (24894),"{""city"":""Tahlequah"",""state"":""OK"",""address"":""614 E Downing"",""zipcode"":""74464""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,
78c040c3-d2b3-4ef7-b7fe-81b139a356cd,b90e6bc5-8607-40cd-ac87-daf2f8386150,0366,Save a Lot (60125),"{""city"":""Canton"",""state"":""OH"",""address"":""906 Tuscarawas St"",""zipcode"":""44702""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
7b154e52-a90a-420e-a694-14c068ff8a0b,b90e6bc5-8607-40cd-ac87-daf2f8386150,0534,Save A Lot 30032,"{""city"":""Sebring"",""state"":""FL"",""address"":""1544 Lakeview Dr"",""zipcode"":""33870""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
